Ingrediente,Quantita,Unita di misura,Nome Piatto
 Aglio,1,spicchio,Baccala mantecato alla veneziana
 Alloro,2,foglie,Baccala mantecato alla veneziana
 Sale fino,q.b.,n.a,Baccala mantecato alla veneziana
 Pepe nero,q.b.,n.a,Baccala mantecato alla veneziana
 Prezzemolo,q.b.,n.a,Baccala mantecato alla veneziana
 Olio extravergine d'oliva,q.b.,n.a,Baccala mantecato alla veneziana
 Burro,120,g,Churros
 Farina 00,125,g,Churros
 Uova,2,pezzi,Churros
 Zucchero,20,g,Churros
 Acqua,250,ml,Churros
 Sale fino,1,pizzico,Churros
 Olio di semi di arachide,q.b.,n.a,Churros
 Zucchero,q.b.,n.a,Churros
 Vitello girello o magatello,500,g,Vitello tonnato alla maniera antica
 Aglio,1,spicchio,Vitello tonnato alla maniera antica
 Sale fino,5,g,Vitello tonnato alla maniera antica
 Pepe nero,q.b.,n.a,Vitello tonnato alla maniera antica
 Vino bianco,80,g,Vitello tonnato alla maniera antica
 Latte intero,150,g,Vitello tonnato alla maniera antica
 Tonno sott'olio sgocciolato,125,g,Vitello tonnato alla maniera antica
 Acciughe sott'olio,20,g,Vitello tonnato alla maniera antica
 Capperi,20,g,Vitello tonnato alla maniera antica
 Uova sode,4,pezzi,Vitello tonnato alla maniera antica
 Marsala,15,g,Vitello tonnato alla maniera antica
 Brodo vegetale,40,g,Vitello tonnato alla maniera antica
 Olio extravergine d'oliva,40,g,Vitello tonnato alla maniera antica
 Patate,800,g,Polpette di patate al forno
 Grana Padano DOP (da grattugiare),40,g,Polpette di patate al forno
 Pangrattato,60,g,Polpette di patate al forno
 Uova medio,1,pezzi,Polpette di patate al forno
 Prezzemolo,1,mazzetto,Polpette di patate al forno
 Origano,4,foglie,Polpette di patate al forno
 Timo secco,q.b.,n.a,Polpette di patate al forno
 Aglio in polvere,2,g,Polpette di patate al forno
 Sale fino,q.b.,n.a,Polpette di patate al forno
 Pepe nero,q.b.,n.a,Polpette di patate al forno
 Pangrattato,120,g,Polpette di patate al forno
 Uova,2,pezzi,Polpette di patate al forno
 Olio extravergine d'oliva,2,cucchiai,Polpette di patate al forno
 Melanzane tonde nere,500,g,Cotolette di melanzane
 Sale grosso,50,g,Cotolette di melanzane
 Uova,1,pezzi,Cotolette di melanzane
 Pangrattato,50,g,Cotolette di melanzane
 Sale fino,1,pizzico,Cotolette di melanzane
 Farina di ceci,50,g,Cotolette di melanzane
 Acqua,75,g,Cotolette di melanzane
 Pangrattato,25,g,Cotolette di melanzane
 Farina di mais fioretto,25,g,Cotolette di melanzane
 Pepe nero,1,pizzico,Cotolette di melanzane
 Sale fino,1,pizzico,Cotolette di melanzane
 Uova,1,pezzi,Cotolette di melanzane
 Pangrattato,25,g,Cotolette di melanzane
 Pecorino da grattugiare,25,g,Cotolette di melanzane
 Paprika affumicata dolce,1,pizzico,Cotolette di melanzane
 Pepe nero,1,pizzico,Cotolette di melanzane
 Olio di semi,800,g,Cotolette di melanzane
 Asparagi non molto grossi,800,g,Frittata di asparagi
 Uova medie,6,pezzi,Frittata di asparagi
 Porri,1,pezzi,Frittata di asparagi
 Pepe nero,q.b.,n.a,Frittata di asparagi
 Grana Padano DOP,3,cucchiai,Frittata di asparagi
 Scamorza affumicata,150,g,Frittata di asparagi
 Erba cipollina da tritare,1,cucchiaio,Frittata di asparagi
 Burro,40,g,Frittata di asparagi
 Olio extravergine d'oliva,3,cucchiai,Frittata di asparagi
 Sale fino,q.b.,n.a,Frittata di asparagi
 Burro freddo di frigo,100,g,Pasta brise
 Farina 00,200,g,Pasta brise
 Acqua ghiacciata,50,g,Pasta brise
 Sale fino,1,pizzico,Pasta brise
 Cracker salati (tipo Tuc),150,g,Mini cheesecake al salmone
 Burro,70,g,Mini cheesecake al salmone
 Formaggio fresco spalmabile,300,g,Mini cheesecake al salmone
 Ricotta vaccina,250,g,Mini cheesecake al salmone
 Salmone affumicato,160,g,Mini cheesecake al salmone
 Gelatina in fogli,9,g,Mini cheesecake al salmone
 Panna fresca liquida,150,ml,Mini cheesecake al salmone
 Sale fino,q.b.,n.a,Mini cheesecake al salmone
 Salmone affumicato,2,fette,Mini cheesecake al salmone
 Zucchine,450,g,Sformato di zucchine
 Uova (circa 2),100,g,Sformato di zucchine
 Ricotta vaccina,80,g,Sformato di zucchine
 Pecorino grattugiato,20,g,Sformato di zucchine
 Aglio,1,spicchio,Sformato di zucchine
 Olio extravergine d'oliva,20,g,Sformato di zucchine
 Sale fino,q.b.,n.a,Sformato di zucchine
 Pepe nero,q.b.,n.a,Sformato di zucchine
 Timo,4,rametti,Sformato di zucchine
 Latte intero,125,g,Sformato di zucchine
 Burro,12,g,Sformato di zucchine
 Panna fresca liquida,9,g,Sformato di zucchine
 Tuorli,1,pezzi,Sformato di zucchine
 Farina 00,20,g,Sformato di zucchine
 Asiago stagionato grattugiato,15,g,Sformato di zucchine
 Sale fino,q.b.,n.a,Sformato di zucchine
 Uova,6,pezzi,Frittatine nella pancetta
 Pancetta,24,fette,Frittatine nella pancetta
 Parmigiano Reggiano DOP da grattugiare,3,cucchiai,Frittatine nella pancetta
 Panna fresca liquida,150,g,Frittatine nella pancetta
 Basilico,1,ciuffo,Frittatine nella pancetta
 Sale fino,q.b.,n.a,Frittatine nella pancetta
 Pepe nero,q.b.,n.a,Frittatine nella pancetta
 Carote,1,pezzi,Carpaccio di polpo
 Cipolle,1,pezzi,Carpaccio di polpo
 Bacche di ginepro,6,pezzi,Carpaccio di polpo
 Pepe nero in grani,4,pezzi,Carpaccio di polpo
 Sale fino,q.b.,n.a,Carpaccio di polpo
 Sedano costa,1,pezzi,Carpaccio di polpo
 Alloro,2,foglie,Carpaccio di polpo
 Succo di limone,1,pezzi,Carpaccio di polpo
 Sale fino,q.b.,n.a,Carpaccio di polpo
 Olio extravergine d'oliva,q.b.,n.a,Carpaccio di polpo
 Aglio,1,spicchio,Carpaccio di polpo
 Prezzemolo,q.b.,n.a,Carpaccio di polpo
 Mozzarella,500,g,Mozzarella fritta 
 Uova medie,2,pezzi,Mozzarella fritta 
 Latte intero,20,ml,Mozzarella fritta 
 Pepe nero,q.b.,n.a,Mozzarella fritta 
 Sale fino,q.b.,n.a,Mozzarella fritta 
 Pangrattato,q.b.,n.a,Mozzarella fritta 
 Farina 00,q.b.,n.a,Mozzarella fritta 
 Olio di semi di arachide,q.b.,n.a,Mozzarella fritta 
 Pasta Sfoglia,2,rotoli,Strudel con ricotta e spinaci
 Spinaci,1,kg,Strudel con ricotta e spinaci
 Ricotta vaccina,250,g,Strudel con ricotta e spinaci
 Uvetta,50,g,Strudel con ricotta e spinaci
 Pinoli,50,g,Strudel con ricotta e spinaci
 Grana Padano DOP da grattugiare,150,g,Strudel con ricotta e spinaci
 Uova medie,3,pezzi,Strudel con ricotta e spinaci
 Noce moscata,q.b.,n.a,Strudel con ricotta e spinaci
 Burro,50,g,Strudel con ricotta e spinaci
 Sale fino,q.b.,n.a,Strudel con ricotta e spinaci
 Pepe nero,q.b.,n.a,Strudel con ricotta e spinaci
 Uova,1,pezzi,Strudel con ricotta e spinaci
 Pancarri spesse,8,fette,Croque monsieur
 Groviera da grattugiare,200,g,Croque monsieur
 Prosciutto cotto (8 fette),240,g,Croque monsieur
 Burro,q.b.,n.a,Croque monsieur
 Latte intero,300,g,Croque monsieur
 Farina 00,30,g,Croque monsieur
 Burro,30,g,Croque monsieur
 Sale,1,pizzico,Croque monsieur
 Noce moscata,q.b.,n.a,Croque monsieur
 Aceto di vino bianco,110,ml,Gazpacho andaluso
 Aglio,1,spicchio,Gazpacho andaluso
 Cetrioli,200,g,Gazpacho andaluso
 Olio extravergine d'oliva,50,ml,Gazpacho andaluso
 Pane raffermo mollica,100,g,Gazpacho andaluso
 Peperoni verdi,250,g,Gazpacho andaluso
 Peperoni rossi,200,g,Gazpacho andaluso
 Pepe,q.b.,n.a,Gazpacho andaluso
 Sale,q.b.,n.a,Gazpacho andaluso
 Cipolle rosse,65,g,Gazpacho andaluso
 Pomodori ramati,600,g,Gazpacho andaluso
 Acqua,q.b.,n.a,Gazpacho andaluso
 Cetrioli,300,g,Gazpacho andaluso
 Cipolle rosse,200,g,Gazpacho andaluso
 Pomodori ramati,300,g,Gazpacho andaluso
 Uova (sode),3,pezzi,Gazpacho andaluso
 Pane crosta,40,g,Gazpacho andaluso
 Peperoni rossi,2,pezzi,Peperoni con la mollica
 Peperoni gialli,2,pezzi,Peperoni con la mollica
 Olio extravergine d'oliva,q.b.,n.a,Peperoni con la mollica
 Pane raffermo mollica,q.b.,n.a,Peperoni con la mollica
 Pecorino da grattugiare,40,g,Peperoni con la mollica
 Capperi,1,cucchiaio,Peperoni con la mollica
 Origano,q.b.,n.a,Peperoni con la mollica
 Aglio,1,spicchio,Peperoni con la mollica
 Zucchine baby (circa 20),400,g,Torta di zucchine e i suoi fiori
 Mozzarella,150,g,Torta di zucchine e i suoi fiori
 Pangrattato,20,g,Torta di zucchine e i suoi fiori
 Pasta Sfoglia (circa 1 rotolo),230,g,Torta di zucchine e i suoi fiori
 Grana Padano DOP da grattugiare,80,g,Torta di zucchine e i suoi fiori
 Aglio,2,spicchi,Torta di zucchine e i suoi fiori
 Prezzemolo tritato,2,cucchiai,Torta di zucchine e i suoi fiori
 Olio extravergine d'oliva + quello per la copertura finale,2,cucchiai,Torta di zucchine e i suoi fiori
 Burro per imburrare la teglia,q.b.,n.a,Torta di zucchine e i suoi fiori
 Sale fino,q.b.,n.a,Torta di zucchine e i suoi fiori
 Pepe nero,q.b.,n.a,Torta di zucchine e i suoi fiori
 Burro freddo,100,g,Torta salata agli spinaci
 Farina 00,200,g,Torta salata agli spinaci
 Acqua fredda,50,g,Torta salata agli spinaci
 Sale fino,q.b.,n.a,Torta salata agli spinaci
 Pepe nero,q.b.,n.a,Torta salata agli spinaci
 Spinaci,550,g,Torta salata agli spinaci
 Cipollotto fresco (circa 2),30,g,Torta salata agli spinaci
 Olio extravergine d'oliva,q.b.,n.a,Torta salata agli spinaci
 Sale fino,q.b.,n.a,Torta salata agli spinaci
 Uova,3,pezzi,Torta salata agli spinaci
 Panna fresca liquida,200,g,Torta salata agli spinaci
 Caciocavallo,80,g,Torta salata agli spinaci
 Timo,q.b.,n.a,Torta salata agli spinaci
 Acciughe (alici) (abbattute),500,g,Alici marinate
 Aglio,4,g,Alici marinate
 Succo di limone,150,g,Alici marinate
 Prezzemolo,20,g,Alici marinate
 Olio extravergine d'oliva,140,g,Alici marinate
 Pepe nero,q.b.,n.a,Alici marinate
 Aceto di vino bianco,20,g,Alici marinate
 Sale fino,q.b.,n.a,Alici marinate
 Aglio,2,spicchi,Cozze alla marinara
 Prezzemolo da tritare,1,ciuffo,Cozze alla marinara
 Vino bianco,50,ml,Cozze alla marinara
 Olio extravergine d'oliva,5,cucchiai,Cozze alla marinara
 Melanzane,600,g,Babaganoush
 Tahina,50,g,Babaganoush
 Succo di limone,1,pezzi,Babaganoush
 Aglio,1,spicchio,Babaganoush
 Olio extravergine d'oliva,q.b.,n.a,Babaganoush
 Sale fino,q.b.,n.a,Babaganoush
 Pepe nero,q.b.,n.a,Babaganoush
 Menta,q.b.,n.a,Babaganoush
 Uova medie,8,pezzi,Frittata
 Pecorino da grattugiare,50,g,Frittata
 Parmigiano Reggiano DOP da grattugiare,50,g,Frittata
 Sale fino,q.b.,n.a,Frittata
 Pepe nero,q.b.,n.a,Frittata
 Olio extravergine d'oliva per ungere la padella,5,g,Frittata
 Farina 0 (o farina 00),700,g,Pizza di scarola
 Acqua a temperatura ambiente,500,ml,Pizza di scarola
 Lievito di birra fresco,4,g,Pizza di scarola
 Sale fino,20,g,Pizza di scarola
 Scarola (indivia) riccia cruda,100,g,Pizza di scarola
 Olive di Gaeta denocciolate,60,g,Pizza di scarola
 Capperi sotto sale dissalati,20,g,Pizza di scarola
 Acciughe sott'olio in filetti tipo Cetara,10,g,Pizza di scarola
 Olio extravergine d'oliva,10,g,Pizza di scarola
 Olio extravergine d'oliva,q.b.,n.a,Pizza di scarola
 Farina 0 (oppure farina 00),700,g,Pizzelle fritte
 Acqua a temperatura ambiente,500,ml,Pizzelle fritte
 Lievito di birra fresco,4,g,Pizzelle fritte
 Sale fino,20,g,Pizzelle fritte
 Pomodori pelati tipo San Marzano,720,g,Pizzelle fritte
 Basilico,25,foglie,Pizzelle fritte
 Origano,q.b.,n.a,Pizzelle fritte
 Sale fino,q.b.,n.a,Pizzelle fritte
 Aglio,1,spicchio,Pizzelle fritte
 Olio extravergine d'oliva,q.b.,n.a,Pizzelle fritte
 Grana Padano DOP da grattugiare,70,g,Pizzelle fritte
 Olio di semi di arachide,q.b.,n.a,Pizzelle fritte
 Acqua,280,ml,Grissini
 Lievito di birra fresco,15,g,Grissini
 Sale fino,8,g,Grissini
 Olio extravergine d'oliva,50,g,Grissini
 Malto d'orzo,1,cucchiaino,Grissini
 Semola,1,cucchiaio,Grissini
 Farina 00,500,g,Grissini
 Olio extravergine d'oliva,q.b.,n.a,Grissini
 Pane toscano raffermo,350,g,Panzanella
 Pomodori ramati maturi,220,g,Panzanella
 Cetrioli,200,g,Panzanella
 Cipolle rosse,90,g,Panzanella
 Basilico,q.b.,n.a,Panzanella
 Acqua (variabile in base a quanto sia da bagnare il pane),250,g,Panzanella
 Aceto di vino bianco,60,g,Panzanella
 Olio extravergine d'oliva,q.b.,n.a,Panzanella
 Sale fino,q.b.,n.a,Panzanella
 Pepe nero,q.b.,n.a,Panzanella
 biologiche,4,pezzi,Uova in camicia
 Sale grosso,q.b.,n.a,Uova in camicia
 Pepe nero,q.b.,n.a,Uova in camicia
 Aceto di vino bianco,10,g,Uova in camicia
 Pane,4,fette,Uova in camicia
 Fiori di zucca (da pulire),270,g,Frittelle di sciurilli
 Farina 00,500,g,Frittelle di sciurilli
 Acqua,400,g,Frittelle di sciurilli
 Lievito di birra fresco,10,g,Frittelle di sciurilli
 Parmigiano Reggiano DOP (da grattugiare),20,g,Frittelle di sciurilli
 Uova,1,pezzi,Frittelle di sciurilli
 Sale fino,20,g,Frittelle di sciurilli
 Olio di semi,q.b.,n.a,Frittelle di sciurilli
 Scamorza (provola),250,g,Torta di patate e prosciutto
 Spinaci,500,g,Torta di patate e prosciutto
 Prosciutto cotto,150,g,Torta di patate e prosciutto
 Tuorli,2,pezzi,Torta di patate e prosciutto
 Burro,10,g,Torta di patate e prosciutto
 Grana Padano DOP da grattugiare,70,g,Torta di patate e prosciutto
 Pangrattato,q.b.,n.a,Torta di patate e prosciutto
 Noce moscata,q.b.,n.a,Torta di patate e prosciutto
 Olio extravergine d'oliva,q.b.,n.a,Torta di patate e prosciutto
 Sale fino,q.b.,n.a,Torta di patate e prosciutto
 Pepe nero,q.b.,n.a,Torta di patate e prosciutto
 Fiori di zucca,12,pezzi,Fiori di zucca ripieni di speck e mozzarella
 Speck a cubetti,100,g,Fiori di zucca ripieni di speck e mozzarella
 Mozzarella,100,g,Fiori di zucca ripieni di speck e mozzarella
 Zucchine (4 circa),400,g,Fiori di zucca ripieni di speck e mozzarella
 Ricotta,100,g,Fiori di zucca ripieni di speck e mozzarella
 Uova,1,pezzi,Fiori di zucca ripieni di speck e mozzarella
 Cipollotto fresco,1,pezzi,Fiori di zucca ripieni di speck e mozzarella
 Grana Padano DOP,50,g,Fiori di zucca ripieni di speck e mozzarella
 Olio extravergine d'oliva,q.b.,n.a,Fiori di zucca ripieni di speck e mozzarella
 Sale fino,q.b.,n.a,Fiori di zucca ripieni di speck e mozzarella
 Pepe nero,q.b.,n.a,Fiori di zucca ripieni di speck e mozzarella
 Timo,q.b.,n.a,Fiori di zucca ripieni di speck e mozzarella
 Ceci secchi,250,g,Polpette di ceci
 Scalogno,60,g,Polpette di ceci
 Senape in grani,60,g,Polpette di ceci
 Timo,2,rametti,Polpette di ceci
 Rosmarino,2,rametti,Polpette di ceci
 Uova,1,pezzi,Polpette di ceci
 Olio extravergine d'oliva,60,g,Polpette di ceci
 Scamorza (provola),130,g,Polpette di ceci
 Sale fino,q.b.,n.a,Polpette di ceci
 Pepe nero,q.b.,n.a,Polpette di ceci
 Uova,1,pezzi,Polpette di ceci
 Latte intero,15,g,Polpette di ceci
 Pangrattato,q.b.,n.a,Polpette di ceci
 Sale fino,q.b.,n.a,Polpette di ceci
 Olio di semi di arachide per friggere,q.b.,n.a,Polpette di ceci
 Edamer a fette,60,g,Tramezzini
 Pane per tramezzini,170,g,Tramezzini
 Olive nere denocciolate,50,g,Tramezzini
 Insalata riccia,30,g,Tramezzini
 Pomodori ramati,80,g,Tramezzini
 Prosciutto cotto a fettine,60,g,Tramezzini
 Maionese,50,g,Tramezzini
 Capperi,40,g,Tramezzini
 Insalata riccia,30,g,Tramezzini
 Pomodori ramati,80,g,Tramezzini
 Olive verdi denocciolate,12,pezzi,Tramezzini
 Pane per tramezzini,170,g,Tramezzini
 Tonno sott'olio,150,g,Tramezzini
 Maionese,50,g,Tramezzini
 Pane per tramezzini,170,g,Tramezzini
 Edamer a fette,50,g,Tramezzini
 Pomodori ramati,80,g,Tramezzini
 Insalata riccia,30,g,Tramezzini
 Uova medio,1,pezzi,Tramezzini
 Cetriolini sottaceto,30,g,Tramezzini
 Maionese,50,g,Tramezzini
 Uova di lompo (succedaneo caviale) nero,15,g,Tramezzini
 Uova medio,1,pezzi,Tramezzini
 Insalata riccia,30,g,Tramezzini
 Pomodori ramati,80,g,Tramezzini
 Pane per tramezzini,170,g,Tramezzini
 Salmone affumicato a fette,100,g,Tramezzini
 Maionese,50,g,Tramezzini
 Gamberi da pulire,500,g,Tempura
 Carote,100,g,Tempura
 Zucchine,100,g,Tempura
 Acqua gassata ghiacciata,300,g,Tempura
 Farina di riso,100,g,Tempura
 Farina 00,100,g,Tempura
 Ghiaccio,q.b.,n.a,Tempura
 Olio di semi di girasole,q.b.,n.a,Tempura
 Calamari medi,600,g,Anelli di calamari al forno
 Pangrattato,200,g,Anelli di calamari al forno
 Paprika dolce,20,g,Anelli di calamari al forno
 Olio extravergine d'oliva,2,cucchiai,Anelli di calamari al forno
 Sale fino,q.b.,n.a,Anelli di calamari al forno
 Farina 00,500,g,Naan
 Yogurt bianco naturale,250,g,Naan
 Acqua,100,g,Naan
 Sale fino,7,g,Naan
 Lievito di birra fresco,2,g,Naan
 Olio extravergine d'oliva,20,g,Naan
 Polpetti (gii puliti),1,kg,Polipetti Affogati
 Pomodori pelati,800,g,Polipetti Affogati
 Peperoncino essiccato,q.b.,n.a,Polipetti Affogati
 Aglio,1,spicchio,Polipetti Affogati
 Prezzemolo,1,ciuffo,Polipetti Affogati
 Vino bianco,50,g,Polipetti Affogati
 Olio extravergine d'oliva,40,g,Polipetti Affogati
 Sale fino,q.b.,n.a,Polipetti Affogati
 Pepe nero,q.b.,n.a,Polipetti Affogati
 Gamberetti,16,pezzi,Cocktail di gamberetti
 Lattuga iceberg,60,g,Cocktail di gamberetti
 Limoni,4,fette,Cocktail di gamberetti
 Tuorli freschissimo,1,pezzi,Cocktail di gamberetti
 Olio di semi di girasole,120,g,Cocktail di gamberetti
 Succo di limone filtrato,15,g,Cocktail di gamberetti
 Sale fino,q.b.,n.a,Cocktail di gamberetti
 Pepe nero,q.b.,n.a,Cocktail di gamberetti
 Ketchup,45,g,Cocktail di gamberetti
 Salsa Worcestershire,0.5,Metti dell'ingrediente,Cocktail di gamberetti
 Tabasco,q.b.,n.a,Cocktail di gamberetti
 Brandy,0.5,Metti dell'ingrediente,Cocktail di gamberetti
 Farina 00,210,g,Empanadas argentine
 Acqua tiepida,70,g,Empanadas argentine
 Strutto,50,g,Empanadas argentine
 Aceto di vino bianco,3,g,Empanadas argentine
 Sale fino,1,pizzico,Empanadas argentine
 Carne bovina da tritare al coltello,165,g,Empanadas argentine
 Cipolle ramate,285,g,Empanadas argentine
 Peperoni rossi,140,g,Empanadas argentine
 Uova sode,1,pezzi,Empanadas argentine
 Olive verdi denocciolate,20,g,Empanadas argentine
 Olio extravergine d'oliva,15,g,Empanadas argentine
 Strutto,15,g,Empanadas argentine
 Cumino in polvere,q.b.,n.a,Empanadas argentine
 Origano secco,q.b.,n.a,Empanadas argentine
 Sale fino,q.b.,n.a,Empanadas argentine
 Pepe nero,q.b.,n.a,Empanadas argentine
 Olio di semi di girasole,q.b.,n.a,Empanadas argentine
 Feta,200,g,Feta al forno
 Pomodori ramati,2,pezzi,Feta al forno
 Cipolle rosse,1,pezzi,Feta al forno
 Olive nere denocciolate,20,g,Feta al forno
 Origano secco,q.b.,n.a,Feta al forno
 Olio extravergine d'oliva,20,g,Feta al forno
 Sale fino,q.b.,n.a,Feta al forno
 Mozzarella (e la sua acqua di conservazione),600,g,Rotolo di mozzarella farcito
 Prosciutto crudo,90,g,Rotolo di mozzarella farcito
 Pomodori ramati,200,g,Rotolo di mozzarella farcito
 Rucola,20,g,Rotolo di mozzarella farcito
 Acqua,100,g,Rotolo di mozzarella farcito
 Sale fino,q.b.,n.a,Rotolo di mozzarella farcito
 Salvia fresche e sane,40,foglie,Salvia fritta in pastella
 Farina 00,100,g,Salvia fritta in pastella
 Birra fredda da frigorifero,200,ml,Salvia fritta in pastella
 Sale fino,q.b.,n.a,Salvia fritta in pastella
 Olio di semi di girasole,1,l,Salvia fritta in pastella
 Gamberi (circa 16),800,g,Gamberi alla catalana
 Rucola,50,g,Gamberi alla catalana
 Cipolle rosse,200,g,Gamberi alla catalana
 Pomodorini ciliegino,200,g,Gamberi alla catalana
 Aceto di vino bianco,5,g,Gamberi alla catalana
 Olio extravergine d'oliva,40,g,Gamberi alla catalana
 Basilico,q.b.,n.a,Gamberi alla catalana
 Sale fino,q.b.,n.a,Gamberi alla catalana
 Zucchine,450,g,Schiacciata di zucchine
 Edamer,100,g,Schiacciata di zucchine
 Fecola di patate,100,g,Schiacciata di zucchine
 Parmigiano Reggiano DOP da grattugiare,50,g,Schiacciata di zucchine
 Uova,1,pezzi,Schiacciata di zucchine
 Sale fino,0.5,Metti dell'ingrediente,Schiacciata di zucchine
 Pepe nero,0.5,Metti dell'ingrediente,Schiacciata di zucchine
 Olio extravergine d'oliva,10,g,Schiacciata di zucchine
 Pangrattato,2,cucchiai,Schiacciata di zucchine
 Acqua (calda),90,g,Ravioli di carne giapponesi (Gyoza)
 Farina 00,200,g,Ravioli di carne giapponesi (Gyoza)
 Sale,1,pizzico,Ravioli di carne giapponesi (Gyoza)
 Maiale macinato,400,g,Ravioli di carne giapponesi (Gyoza)
 Cipollotto fresco,60,g,Ravioli di carne giapponesi (Gyoza)
 Cicoria,50,g,Ravioli di carne giapponesi (Gyoza)
 Aglio,1,spicchio,Ravioli di carne giapponesi (Gyoza)
 Salsa di soia,20,g,Ravioli di carne giapponesi (Gyoza)
 Tuorli,1,pezzi,Ravioli di carne giapponesi (Gyoza)
 Olio di semi,10,g,Ravioli di carne giapponesi (Gyoza)
 Acqua,20,g,Ravioli di carne giapponesi (Gyoza)
 Salsa di soia,20,g,Ravioli di carne giapponesi (Gyoza)
 Zenzero fresco (polpa grattugiata),0.5,Metti dell'ingrediente,Ravioli di carne giapponesi (Gyoza)
 Tabasco,4,gocce,Ravioli di carne giapponesi (Gyoza)
 Farina 00,550,g,Taralli
 Vino bianco secco,200,g,Taralli
 Olio extravergine d'oliva,120,g,Taralli
 Sale fino,10,g,Taralli
 Pasta Sfoglia (1 rotolo),230,g,Torta salata di verdure
 Zucchine,350,g,Torta salata di verdure
 Carote,350,g,Torta salata di verdure
 Sale fino,q.b.,n.a,Torta salata di verdure
 Olio extravergine d'oliva,40,g,Torta salata di verdure
 Latte intero,300,ml,Torta salata di verdure
 Farina 00,25,g,Torta salata di verdure
 Burro,25,g,Torta salata di verdure
 Noce moscata,q.b.,n.a,Torta salata di verdure
 Parmigiano Reggiano DOP da grattugiare,40,g,Torta salata di verdure
 Uova medie,2,pezzi,Torta salata di verdure
 Sale fino,q.b.,n.a,Torta salata di verdure
 Mozzarella,200,g,Mozzarella in carrozza al forno
 Uova medie,2,pezzi,Mozzarella in carrozza al forno
 Sale fino,q.b.,n.a,Mozzarella in carrozza al forno
 Pepe nero,q.b.,n.a,Mozzarella in carrozza al forno
 Pancarri (8 fette),140,g,Mozzarella in carrozza al forno
