Ingrediente,Quantita,Unita_di_misura,Nome_Piatto,,,,
 Cipolle rosse,0.5,Met� dell'ingrediente,Avocado toast,,,,
 Peperoncino fresco piccolo,1.0,pezzi,Avocado toast,,,,
 Coriandolo,-1.0,n.a.,Avocado toast,,,,
 Sale fino,-1.0,n.a.,Avocado toast,,,,
 Olio extravergine d'oliva,10.0,g,Avocado toast,,,,
 Pancetta coppata,8.0,fette,Avocado toast,,,,
 Cavoletti di Bruxelles,20.0,g,Avocado toast,,,,
 Semi di papavero,-1.0,n.a.,Avocado toast,,,,
 Sale fino,-1.0,n.a.,Avocado toast,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Avocado toast,,,,
 Uova,1.0,pezzi,Avocado toast,,,,
 Senape,-1.0,n.a.,Avocado toast,,,,
 Sale fino,-1.0,n.a.,Avocado toast,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Avocado toast,,,,
 Fragole,1.0,pezzi,Avocado toast,,,,
 Mascarpone,10.0,g,Avocado toast,,,,
 Miele millefiori,-1.0,n.a.,Avocado toast,,,,
 Zucca violina (gi� pulita),500.0,g,Polpette di zucca,,,,
 Pangrattato,100.0,g,Polpette di zucca,,,,
 Parmigiano Reggiano DOP da grattugiare,100.0,g,Polpette di zucca,,,,
 Scamorza affumicata,50.0,g,Polpette di zucca,,,,
 Salvia,-1.0,n.a.,Polpette di zucca,,,,
 Uova,1.0,pezzi,Polpette di zucca,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Polpette di zucca,,,,
 Sale fino,-1.0,n.a.,Polpette di zucca,,,,
 Pepe nero,-1.0,n.a.,Polpette di zucca,,,,
 Pangrattato,-1.0,n.a.,Polpette di zucca,,,,
 Olio di semi,-1.0,n.a.,Polpette di zucca,,,,
 Acqua fredda,240.0,g,Pizza muffin,,,,
 Farina 00,380.0,g,Pizza muffin,,,,
 Sale fino,8.0,g,Pizza muffin,,,,
 Lievito istantaneo per preparazioni salate,16.0,g,Pizza muffin,,,,
 Mozzarella (per pizza),220.0,g,Pizza muffin,,,,
 Passata di pomodoro,130.0,g,Pizza muffin,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Pizza muffin,,,,
 Origano,-1.0,n.a.,Pizza muffin,,,,
 Mozzarella (4 da 125 g ciascuna),500.0,g,Mozzarella ripiena,,,,
 Pomodorini ciliegino,80.0,g,Mozzarella ripiena,,,,
 Origano secco,-1.0,n.a.,Mozzarella ripiena,,,,
 Sale fino,-1.0,n.a.,Mozzarella ripiena,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Mozzarella ripiena,,,,
 Pepe nero,-1.0,n.a.,Mozzarella ripiena,,,,
 Friggitelli,10.0,pezzi,Friggitelli ripieni vegetariani,,,,
 Pangrattato,40.0,g,Friggitelli ripieni vegetariani,,,,
 Pomodori ramati (circa 1),180.0,g,Friggitelli ripieni vegetariani,,,,
 Pomodori secchi sott'olio,40.0,g,Friggitelli ripieni vegetariani,,,,
 Parmigiano Reggiano DOP da grattugiare,30.0,g,Friggitelli ripieni vegetariani,,,,
 Basilico,-1.0,n.a.,Friggitelli ripieni vegetariani,,,,
 Sale fino,-1.0,n.a.,Friggitelli ripieni vegetariani,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Friggitelli ripieni vegetariani,,,,
 Zucchine tonde,200.0,g,Rotolini di zucchina in sfoglia,,,,
 Scamorza (provola),150.0,g,Rotolini di zucchina in sfoglia,,,,
 Pasta Sfoglia (rettangolare),230.0,g,Rotolini di zucchina in sfoglia,,,,
 Sale fino,-1.0,n.a.,Rotolini di zucchina in sfoglia,,,,
 Pepe nero,-1.0,n.a.,Rotolini di zucchina in sfoglia,,,,
 Albumi,1.0,pezzi,Rotolini di zucchina in sfoglia,,,,
 Uova,2.0,pezzi,Fagottini di porri. salmone e robiola,,,,
 Latte,300.0,g,Fagottini di porri. salmone e robiola,,,,
 Farina 00,150.0,g,Fagottini di porri. salmone e robiola,,,,
 Burro,40.0,g,Fagottini di porri. salmone e robiola,,,,
 Sale fino,1.0,pizzico,Fagottini di porri. salmone e robiola,,,,
 Porri,500.0,g,Fagottini di porri. salmone e robiola,,,,
 Robiola,100.0,g,Fagottini di porri. salmone e robiola,,,,
 Salmone,100.0,g,Fagottini di porri. salmone e robiola,,,,
 Grana Padano DOP da grattugiare,50.0,g,Fagottini di porri. salmone e robiola,,,,
 Noce moscata,-1.0,n.a.,Fagottini di porri. salmone e robiola,,,,
 Pepe,-1.0,n.a.,Fagottini di porri. salmone e robiola,,,,
 Latte,100.0,g,Fagottini di porri. salmone e robiola,,,,
 Sale fino,-1.0,n.a.,Fagottini di porri. salmone e robiola,,,,
 Timo,3.0,rametti,Fagottini di porri. salmone e robiola,,,,
 Aglio,1.0,spicchio,Fagottini di porri. salmone e robiola,,,,
 Cipolle (2 grandi e tonde),120.0,g,Anelli di cipolla in pastella,,,,
 Farina 00,90.0,g,Anelli di cipolla in pastella,,,,
 Lievito istantaneo per preparazioni salate ,0.5,Met� dell'ingrediente,Anelli di cipolla in pastella,,,,
 Uova,1.0,pezzi,Anelli di cipolla in pastella,,,,
 Latte intero,100.0,ml,Anelli di cipolla in pastella,,,,
 Olio extravergine d'oliva,1.0,cucchiaio,Anelli di cipolla in pastella,,,,
 Sale fino,-1.0,n.a.,Anelli di cipolla in pastella,,,,
 Olio di semi di arachide,-1.0,n.a.,Anelli di cipolla in pastella,,,,
 Stoccafisso (gi� ammollato),500.0,g,Baccal� mantecato alla veneziana,,,,
 Olio extravergine d'oliva,280.0,g,Baccal� mantecato alla veneziana,,,,
 Limoni,0.5,Met� dell'ingrediente,Baccal� mantecato alla veneziana,,,,
 Aglio,1.0,spicchio,Baccal� mantecato alla veneziana,,,,
 Alloro,2.0,foglie,Baccal� mantecato alla veneziana,,,,
 Sale fino,-1.0,n.a.,Baccal� mantecato alla veneziana,,,,
 Pepe nero,-1.0,n.a.,Baccal� mantecato alla veneziana,,,,
 Prezzemolo,-1.0,n.a.,Baccal� mantecato alla veneziana,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Baccal� mantecato alla veneziana,,,,
 Burro,120.0,g,Churros,,,,
 Farina 00,125.0,g,Churros,,,,
 Uova,2.0,pezzi,Churros,,,,
 Zucchero,20.0,g,Churros,,,,
 Acqua,250.0,ml,Churros,,,,
 Sale fino,1.0,pizzico,Churros,,,,
 Olio di semi di arachide,-1.0,n.a.,Churros,,,,
 Zucchero,-1.0,n.a.,Churros,,,,
 Vitello girello o magatello,500.0,g,Vitello tonnato alla maniera antica,,,,
 Aglio,1.0,spicchio,Vitello tonnato alla maniera antica,,,,
 Sale fino,5.0,g,Vitello tonnato alla maniera antica,,,,
 Pepe nero,-1.0,n.a.,Vitello tonnato alla maniera antica,,,,
 Vino bianco,80.0,g,Vitello tonnato alla maniera antica,,,,
 Latte intero,150.0,g,Vitello tonnato alla maniera antica,,,,
 Tonno sott'olio sgocciolato,125.0,g,Vitello tonnato alla maniera antica,,,,
 Acciughe sott'olio,20.0,g,Vitello tonnato alla maniera antica,,,,
 Capperi,20.0,g,Vitello tonnato alla maniera antica,,,,
 Uova sode,4.0,pezzi,Vitello tonnato alla maniera antica,,,,
 Marsala,15.0,g,Vitello tonnato alla maniera antica,,,,
 Brodo vegetale,40.0,g,Vitello tonnato alla maniera antica,,,,
 Olio extravergine d'oliva,40.0,g,Vitello tonnato alla maniera antica,,,,
 Patate,800.0,g,Polpette di patate al forno,,,,
 Grana Padano DOP (da grattugiare),40.0,g,Polpette di patate al forno,,,,
 Pangrattato,60.0,g,Polpette di patate al forno,,,,
 Uova medio,1.0,pezzi,Polpette di patate al forno,,,,
 Prezzemolo,1.0,mazzetto,Polpette di patate al forno,,,,
 Origano,4.0,foglie,Polpette di patate al forno,,,,
 Timo secco,-1.0,n.a.,Polpette di patate al forno,,,,
 Aglio in polvere,2.0,g,Polpette di patate al forno,,,,
 Sale fino,-1.0,n.a.,Polpette di patate al forno,,,,
 Pepe nero,-1.0,n.a.,Polpette di patate al forno,,,,
 Pangrattato,120.0,g,Polpette di patate al forno,,,,
 Uova,2.0,pezzi,Polpette di patate al forno,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Polpette di patate al forno,,,,
 Melanzane tonde nere,500.0,g,Cotolette di melanzane,,,,
 Sale grosso,50.0,g,Cotolette di melanzane,,,,
 Uova,1.0,pezzi,Cotolette di melanzane,,,,
 Pangrattato,50.0,g,Cotolette di melanzane,,,,
 Sale fino,1.0,pizzico,Cotolette di melanzane,,,,
 Farina di ceci,50.0,g,Cotolette di melanzane,,,,
 Acqua,75.0,g,Cotolette di melanzane,,,,
 Pangrattato,25.0,g,Cotolette di melanzane,,,,
 Farina di mais fioretto,25.0,g,Cotolette di melanzane,,,,
 Pepe nero,1.0,pizzico,Cotolette di melanzane,,,,
 Sale fino,1.0,pizzico,Cotolette di melanzane,,,,
 Uova,1.0,pezzi,Cotolette di melanzane,,,,
 Pangrattato,25.0,g,Cotolette di melanzane,,,,
 Pecorino da grattugiare,25.0,g,Cotolette di melanzane,,,,
 Paprika affumicata dolce,1.0,pizzico,Cotolette di melanzane,,,,
 Pepe nero,1.0,pizzico,Cotolette di melanzane,,,,
 Olio di semi,800.0,g,Cotolette di melanzane,,,,
 Asparagi non molto grossi,800.0,g,Frittata di asparagi,,,,
 Uova medie,6.0,pezzi,Frittata di asparagi,,,,
 Porri,1.0,pezzi,Frittata di asparagi,,,,
 Pepe nero,-1.0,n.a.,Frittata di asparagi,,,,
 Grana Padano DOP,3.0,cucchiai,Frittata di asparagi,,,,
 Scamorza affumicata,150.0,g,Frittata di asparagi,,,,
 Erba cipollina da tritare,1.0,cucchiaio,Frittata di asparagi,,,,
 Burro,40.0,g,Frittata di asparagi,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Frittata di asparagi,,,,
 Sale fino,-1.0,n.a.,Frittata di asparagi,,,,
 Burro freddo di frigo,100.0,g,Pasta bris�,,,,
 Farina 00,200.0,g,Pasta bris�,,,,
 Acqua ghiacciata,50.0,g,Pasta bris�,,,,
 Sale fino,1.0,pizzico,Pasta bris�,,,,
 Cracker salati (tipo Tuc),150.0,g,Mini cheesecake al salmone,,,,
 Burro,70.0,g,Mini cheesecake al salmone,,,,
 Formaggio fresco spalmabile,300.0,g,Mini cheesecake al salmone,,,,
 Ricotta vaccina,250.0,g,Mini cheesecake al salmone,,,,
 Salmone affumicato,160.0,g,Mini cheesecake al salmone,,,,
 Gelatina in fogli,9.0,g,Mini cheesecake al salmone,,,,
 Panna fresca liquida,150.0,ml,Mini cheesecake al salmone,,,,
 Sale fino,-1.0,n.a.,Mini cheesecake al salmone,,,,
 Salmone affumicato,2.0,fette,Mini cheesecake al salmone,,,,
 Zucchine,450.0,g,Sformato di zucchine,,,,
 Uova (circa 2),100.0,g,Sformato di zucchine,,,,
 Ricotta vaccina,80.0,g,Sformato di zucchine,,,,
 Pecorino grattugiato,20.0,g,Sformato di zucchine,,,,
 Aglio,1.0,spicchio,Sformato di zucchine,,,,
 Olio extravergine d'oliva,20.0,g,Sformato di zucchine,,,,
 Sale fino,-1.0,n.a.,Sformato di zucchine,,,,
 Pepe nero,-1.0,n.a.,Sformato di zucchine,,,,
 Timo,4.0,rametti,Sformato di zucchine,,,,
 Latte intero,125.0,g,Sformato di zucchine,,,,
 Burro,12.0,g,Sformato di zucchine,,,,
 Panna fresca liquida,9.0,g,Sformato di zucchine,,,,
 Tuorli,1.0,pezzi,Sformato di zucchine,,,,
 Farina 00,20.0,g,Sformato di zucchine,,,,
 Asiago stagionato grattugiato,15.0,g,Sformato di zucchine,,,,
 Sale fino,-1.0,n.a.,Sformato di zucchine,,,,
 Uova,6.0,pezzi,Frittatine nella pancetta,,,,
 Pancetta,24.0,fette,Frittatine nella pancetta,,,,
 Parmigiano Reggiano DOP da grattugiare,3.0,cucchiai,Frittatine nella pancetta,,,,
 Panna fresca liquida,150.0,g,Frittatine nella pancetta,,,,
 Basilico,1.0,ciuffo,Frittatine nella pancetta,,,,
 Sale fino,-1.0,n.a.,Frittatine nella pancetta,,,,
 Pepe nero,-1.0,n.a.,Frittatine nella pancetta,,,,
 Carote,1.0,pezzi,Carpaccio di polpo,,,,
 Cipolle,1.0,pezzi,Carpaccio di polpo,,,,
 Bacche di ginepro,6.0,pezzi,Carpaccio di polpo,,,,
 Pepe nero in grani,4.0,pezzi,Carpaccio di polpo,,,,
 Sale fino,-1.0,n.a.,Carpaccio di polpo,,,,
 Sedano costa,1.0,pezzi,Carpaccio di polpo,,,,
 Alloro,2.0,foglie,Carpaccio di polpo,,,,
 Succo di limone,1.0,pezzi,Carpaccio di polpo,,,,
 Sale fino,-1.0,n.a.,Carpaccio di polpo,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Carpaccio di polpo,,,,
 Aglio,1.0,spicchio,Carpaccio di polpo,,,,
 Prezzemolo,-1.0,n.a.,Carpaccio di polpo,,,,
 Mozzarella,500.0,g,Mozzarella fritta ,,,,
 Uova medie,2.0,pezzi,Mozzarella fritta ,,,,
 Latte intero,20.0,ml,Mozzarella fritta ,,,,
 Pepe nero,-1.0,n.a.,Mozzarella fritta ,,,,
 Sale fino,-1.0,n.a.,Mozzarella fritta ,,,,
 Pangrattato,-1.0,n.a.,Mozzarella fritta ,,,,
 Farina 00,-1.0,n.a.,Mozzarella fritta ,,,,
 Olio di semi di arachide,-1.0,n.a.,Mozzarella fritta ,,,,
 Pasta Sfoglia,2.0,rotoli,Strudel con ricotta e spinaci,,,,
 Spinaci,1.0,kg,Strudel con ricotta e spinaci,,,,
 Ricotta vaccina,250.0,g,Strudel con ricotta e spinaci,,,,
 Uvetta,50.0,g,Strudel con ricotta e spinaci,,,,
 Pinoli,50.0,g,Strudel con ricotta e spinaci,,,,
 Grana Padano DOP da grattugiare,150.0,g,Strudel con ricotta e spinaci,,,,
 Uova medie,3.0,pezzi,Strudel con ricotta e spinaci,,,,
 Noce moscata,-1.0,n.a.,Strudel con ricotta e spinaci,,,,
 Burro,50.0,g,Strudel con ricotta e spinaci,,,,
 Sale fino,-1.0,n.a.,Strudel con ricotta e spinaci,,,,
 Pepe nero,-1.0,n.a.,Strudel con ricotta e spinaci,,,,
 Uova,1.0,pezzi,Strudel con ricotta e spinaci,,,,
 Pancarr� spesse,8.0,fette,Croque monsieur,,,,
 Groviera da grattugiare,200.0,g,Croque monsieur,,,,
 Prosciutto cotto (8 fette),240.0,g,Croque monsieur,,,,
 Burro,-1.0,n.a.,Croque monsieur,,,,
 Latte intero,300.0,g,Croque monsieur,,,,
 Farina 00,30.0,g,Croque monsieur,,,,
 Burro,30.0,g,Croque monsieur,,,,
 Sale,1.0,pizzico,Croque monsieur,,,,
 Noce moscata,-1.0,n.a.,Croque monsieur,,,,
 Aceto di vino bianco,110.0,ml,Gazpacho andaluso,,,,
 Aglio,1.0,spicchio,Gazpacho andaluso,,,,
 Cetrioli,200.0,g,Gazpacho andaluso,,,,
 Olio extravergine d'oliva,50.0,ml,Gazpacho andaluso,,,,
 Pane raffermo mollica,100.0,g,Gazpacho andaluso,,,,
 Peperoni verdi,250.0,g,Gazpacho andaluso,,,,
 Peperoni rossi,200.0,g,Gazpacho andaluso,,,,
 Pepe,-1.0,n.a.,Gazpacho andaluso,,,,
 Sale,-1.0,n.a.,Gazpacho andaluso,,,,
 Cipolle rosse,65.0,g,Gazpacho andaluso,,,,
 Pomodori ramati,600.0,g,Gazpacho andaluso,,,,
 Acqua,-1.0,n.a.,Gazpacho andaluso,,,,
 Cetrioli,300.0,g,Gazpacho andaluso,,,,
 Cipolle rosse,200.0,g,Gazpacho andaluso,,,,
 Pomodori ramati,300.0,g,Gazpacho andaluso,,,,
 Uova (sode),3.0,pezzi,Gazpacho andaluso,,,,
 Pane crosta,40.0,g,Gazpacho andaluso,,,,
 Peperoni rossi,2.0,pezzi,Peperoni con la mollica,,,,
 Peperoni gialli,2.0,pezzi,Peperoni con la mollica,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Peperoni con la mollica,,,,
 Pane raffermo mollica,-1.0,n.a.,Peperoni con la mollica,,,,
 Pecorino da grattugiare,40.0,g,Peperoni con la mollica,,,,
 Capperi,1.0,cucchiaio,Peperoni con la mollica,,,,
 Origano,-1.0,n.a.,Peperoni con la mollica,,,,
 Aglio,1.0,spicchio,Peperoni con la mollica,,,,
 Zucchine baby (circa 20),400.0,g,Torta di zucchine e i suoi fiori,,,,
 Mozzarella,150.0,g,Torta di zucchine e i suoi fiori,,,,
 Pangrattato,20.0,g,Torta di zucchine e i suoi fiori,,,,
 Pasta Sfoglia (circa 1 rotolo),230.0,g,Torta di zucchine e i suoi fiori,,,,
 Grana Padano DOP da grattugiare,80.0,g,Torta di zucchine e i suoi fiori,,,,
 Aglio,2.0,spicchi,Torta di zucchine e i suoi fiori,,,,
 Prezzemolo tritato,2.0,cucchiai,Torta di zucchine e i suoi fiori,,,,
 Olio extravergine d'oliva + quello per la copertura finale,2.0,cucchiai,Torta di zucchine e i suoi fiori,,,,
 Burro per imburrare la teglia,-1.0,n.a.,Torta di zucchine e i suoi fiori,,,,
 Sale fino,-1.0,n.a.,Torta di zucchine e i suoi fiori,,,,
 Pepe nero,-1.0,n.a.,Torta di zucchine e i suoi fiori,,,,
 Burro freddo,100.0,g,Torta salata agli spinaci,,,,
 Farina 00,200.0,g,Torta salata agli spinaci,,,,
 Acqua fredda,50.0,g,Torta salata agli spinaci,,,,
 Sale fino,-1.0,n.a.,Torta salata agli spinaci,,,,
 Pepe nero,-1.0,n.a.,Torta salata agli spinaci,,,,
 Spinaci,550.0,g,Torta salata agli spinaci,,,,
 Cipollotto fresco (circa 2),30.0,g,Torta salata agli spinaci,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Torta salata agli spinaci,,,,
 Sale fino,-1.0,n.a.,Torta salata agli spinaci,,,,
 Uova,3.0,pezzi,Torta salata agli spinaci,,,,
 Panna fresca liquida,200.0,g,Torta salata agli spinaci,,,,
 Caciocavallo,80.0,g,Torta salata agli spinaci,,,,
 Timo,-1.0,n.a.,Torta salata agli spinaci,,,,
 Acciughe (alici) (abbattute),500.0,g,Alici marinate,,,,
 Aglio,4.0,g,Alici marinate,,,,
 Succo di limone,150.0,g,Alici marinate,,,,
 Prezzemolo,20.0,g,Alici marinate,,,,
 Olio extravergine d'oliva,140.0,g,Alici marinate,,,,
 Pepe nero,-1.0,n.a.,Alici marinate,,,,
 Aceto di vino bianco,20.0,g,Alici marinate,,,,
 Sale fino,-1.0,n.a.,Alici marinate,,,,
 Aglio,2.0,spicchi,Cozze alla marinara,,,,
 Prezzemolo da tritare,1.0,ciuffo,Cozze alla marinara,,,,
 Vino bianco,50.0,ml,Cozze alla marinara,,,,
 Olio extravergine d'oliva,5.0,cucchiai,Cozze alla marinara,,,,
 Melanzane,600.0,g,Babaganoush,,,,
 Tahina,50.0,g,Babaganoush,,,,
 Succo di limone,1.0,pezzi,Babaganoush,,,,
 Aglio,1.0,spicchio,Babaganoush,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Babaganoush,,,,
 Sale fino,-1.0,n.a.,Babaganoush,,,,
 Pepe nero,-1.0,n.a.,Babaganoush,,,,
 Menta,-1.0,n.a.,Babaganoush,,,,
 Uova medie,8.0,pezzi,Frittata,,,,
 Pecorino da grattugiare,50.0,g,Frittata,,,,
 Parmigiano Reggiano DOP da grattugiare,50.0,g,Frittata,,,,
 Sale fino,-1.0,n.a.,Frittata,,,,
 Pepe nero,-1.0,n.a.,Frittata,,,,
 Olio extravergine d'oliva per ungere la padella,5.0,g,Frittata,,,,
 Farina 0 (o farina 00),700.0,g,Pizza di scarola,,,,
 Acqua a temperatura ambiente,500.0,ml,Pizza di scarola,,,,
 Lievito di birra fresco,4.0,g,Pizza di scarola,,,,
 Sale fino,20.0,g,Pizza di scarola,,,,
 Scarola (indivia) riccia cruda,100.0,g,Pizza di scarola,,,,
 Olive di Gaeta denocciolate,60.0,g,Pizza di scarola,,,,
 Capperi sotto sale dissalati,20.0,g,Pizza di scarola,,,,
 Acciughe sott'olio in filetti tipo Cetara,10.0,g,Pizza di scarola,,,,
 Olio extravergine d'oliva,10.0,g,Pizza di scarola,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Pizza di scarola,,,,
 Farina 0 (oppure farina 00),700.0,g,Pizzelle fritte,,,,
 Acqua a temperatura ambiente,500.0,ml,Pizzelle fritte,,,,
 Lievito di birra fresco,4.0,g,Pizzelle fritte,,,,
 Sale fino,20.0,g,Pizzelle fritte,,,,
 Pomodori pelati tipo San Marzano,720.0,g,Pizzelle fritte,,,,
 Basilico,25.0,foglie,Pizzelle fritte,,,,
 Origano,-1.0,n.a.,Pizzelle fritte,,,,
 Sale fino,-1.0,n.a.,Pizzelle fritte,,,,
 Aglio,1.0,spicchio,Pizzelle fritte,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Pizzelle fritte,,,,
 Grana Padano DOP da grattugiare,70.0,g,Pizzelle fritte,,,,
 Olio di semi di arachide,-1.0,n.a.,Pizzelle fritte,,,,
 Acqua,280.0,ml,Grissini,,,,
 Lievito di birra fresco,15.0,g,Grissini,,,,
 Sale fino,8.0,g,Grissini,,,,
 Olio extravergine d'oliva,50.0,g,Grissini,,,,
 Malto d'orzo,1.0,cucchiaino,Grissini,,,,
 Semola,1.0,cucchiaio,Grissini,,,,
 Farina 00,500.0,g,Grissini,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Grissini,,,,
 Pane toscano raffermo,350.0,g,Panzanella,,,,
 Pomodori ramati maturi,220.0,g,Panzanella,,,,
 Cetrioli,200.0,g,Panzanella,,,,
 Cipolle rosse,90.0,g,Panzanella,,,,
 Basilico,-1.0,n.a.,Panzanella,,,,
 Acqua (variabile in base a quanto sia da bagnare il pane),250.0,g,Panzanella,,,,
 Aceto di vino bianco,60.0,g,Panzanella,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Panzanella,,,,
 Sale fino,-1.0,n.a.,Panzanella,,,,
 Pepe nero,-1.0,n.a.,Panzanella,,,,
 biologiche,4.0,pezzi,Uova in camicia,,,,
 Sale grosso,-1.0,n.a.,Uova in camicia,,,,
 Pepe nero,-1.0,n.a.,Uova in camicia,,,,
 Aceto di vino bianco,10.0,g,Uova in camicia,,,,
 Pane,4.0,fette,Uova in camicia,,,,
 Fiori di zucca (da pulire),270.0,g,Frittelle di sciurilli,,,,
 Farina 00,500.0,g,Frittelle di sciurilli,,,,
 Acqua,400.0,g,Frittelle di sciurilli,,,,
 Lievito di birra fresco,10.0,g,Frittelle di sciurilli,,,,
 Parmigiano Reggiano DOP (da grattugiare),20.0,g,Frittelle di sciurilli,,,,
 Uova,1.0,pezzi,Frittelle di sciurilli,,,,
 Sale fino,20.0,g,Frittelle di sciurilli,,,,
 Olio di semi,-1.0,n.a.,Frittelle di sciurilli,,,,
 Scamorza (provola),250.0,g,Torta di patate e prosciutto,,,,
 Spinaci,500.0,g,Torta di patate e prosciutto,,,,
 Prosciutto cotto,150.0,g,Torta di patate e prosciutto,,,,
 Tuorli,2.0,pezzi,Torta di patate e prosciutto,,,,
 Burro,10.0,g,Torta di patate e prosciutto,,,,
 Grana Padano DOP da grattugiare,70.0,g,Torta di patate e prosciutto,,,,
 Pangrattato,-1.0,n.a.,Torta di patate e prosciutto,,,,
 Noce moscata,-1.0,n.a.,Torta di patate e prosciutto,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Torta di patate e prosciutto,,,,
 Sale fino,-1.0,n.a.,Torta di patate e prosciutto,,,,
 Pepe nero,-1.0,n.a.,Torta di patate e prosciutto,,,,
 Fiori di zucca,12.0,pezzi,Fiori di zucca ripieni di speck e mozzarella,,,,
 Speck a cubetti,100.0,g,Fiori di zucca ripieni di speck e mozzarella,,,,
 Mozzarella,100.0,g,Fiori di zucca ripieni di speck e mozzarella,,,,
 Zucchine (4 circa),400.0,g,Fiori di zucca ripieni di speck e mozzarella,,,,
 Ricotta,100.0,g,Fiori di zucca ripieni di speck e mozzarella,,,,
 Uova,1.0,pezzi,Fiori di zucca ripieni di speck e mozzarella,,,,
 Cipollotto fresco,1.0,pezzi,Fiori di zucca ripieni di speck e mozzarella,,,,
 Grana Padano DOP,50.0,g,Fiori di zucca ripieni di speck e mozzarella,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Fiori di zucca ripieni di speck e mozzarella,,,,
 Sale fino,-1.0,n.a.,Fiori di zucca ripieni di speck e mozzarella,,,,
 Pepe nero,-1.0,n.a.,Fiori di zucca ripieni di speck e mozzarella,,,,
 Timo,-1.0,n.a.,Fiori di zucca ripieni di speck e mozzarella,,,,
 Ceci secchi,250.0,g,Polpette di ceci,,,,
 Scalogno,60.0,g,Polpette di ceci,,,,
 Senape in grani,60.0,g,Polpette di ceci,,,,
 Timo,2.0,rametti,Polpette di ceci,,,,
 Rosmarino,2.0,rametti,Polpette di ceci,,,,
 Uova,1.0,pezzi,Polpette di ceci,,,,
 Olio extravergine d'oliva,60.0,g,Polpette di ceci,,,,
 Scamorza (provola),130.0,g,Polpette di ceci,,,,
 Sale fino,-1.0,n.a.,Polpette di ceci,,,,
 Pepe nero,-1.0,n.a.,Polpette di ceci,,,,
 Uova,1.0,pezzi,Polpette di ceci,,,,
 Latte intero,15.0,g,Polpette di ceci,,,,
 Pangrattato,-1.0,n.a.,Polpette di ceci,,,,
 Sale fino,-1.0,n.a.,Polpette di ceci,,,,
 Olio di semi di arachide per friggere,-1.0,n.a.,Polpette di ceci,,,,
 Edamer a fette,60.0,g,Tramezzini,,,,
 Pane per tramezzini,170.0,g,Tramezzini,,,,
 Olive nere denocciolate,50.0,g,Tramezzini,,,,
 Insalata riccia,30.0,g,Tramezzini,,,,
 Pomodori ramati,80.0,g,Tramezzini,,,,
 Prosciutto cotto a fettine,60.0,g,Tramezzini,,,,
 Maionese,50.0,g,Tramezzini,,,,
 Capperi,40.0,g,Tramezzini,,,,
 Insalata riccia,30.0,g,Tramezzini,,,,
 Pomodori ramati,80.0,g,Tramezzini,,,,
 Olive verdi denocciolate,12.0,pezzi,Tramezzini,,,,
 Pane per tramezzini,170.0,g,Tramezzini,,,,
 Tonno sott'olio,150.0,g,Tramezzini,,,,
 Maionese,50.0,g,Tramezzini,,,,
 Pane per tramezzini,170.0,g,Tramezzini,,,,
 Edamer a fette,50.0,g,Tramezzini,,,,
 Pomodori ramati,80.0,g,Tramezzini,,,,
 Insalata riccia,30.0,g,Tramezzini,,,,
 Uova medio,1.0,pezzi,Tramezzini,,,,
 Cetriolini sottaceto,30.0,g,Tramezzini,,,,
 Maionese,50.0,g,Tramezzini,,,,
 Uova di lompo (succedaneo caviale) nero,15.0,g,Tramezzini,,,,
 Uova medio,1.0,pezzi,Tramezzini,,,,
 Insalata riccia,30.0,g,Tramezzini,,,,
 Pomodori ramati,80.0,g,Tramezzini,,,,
 Pane per tramezzini,170.0,g,Tramezzini,,,,
 Salmone affumicato a fette,100.0,g,Tramezzini,,,,
 Maionese,50.0,g,Tramezzini,,,,
 Gamberi da pulire,500.0,g,Tempura,,,,
 Carote,100.0,g,Tempura,,,,
 Zucchine,100.0,g,Tempura,,,,
 Acqua gassata ghiacciata,300.0,g,Tempura,,,,
 Farina di riso,100.0,g,Tempura,,,,
 Farina 00,100.0,g,Tempura,,,,
 Ghiaccio,-1.0,n.a.,Tempura,,,,
 Olio di semi di girasole,-1.0,n.a.,Tempura,,,,
 Calamari medi,600.0,g,Anelli di calamari al forno,,,,
 Pangrattato,200.0,g,Anelli di calamari al forno,,,,
 Paprika dolce,20.0,g,Anelli di calamari al forno,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Anelli di calamari al forno,,,,
 Sale fino,-1.0,n.a.,Anelli di calamari al forno,,,,
